unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf,alt,Mach,TRA,T2,C-1,C-2,Segm K-means PCA,class
1.0,1.0,551.5936843980146,1305.3416847547448,1615.478127509016,1087.9914494316613,10.12530270124094,7.684200538143654,10.279361355302605,12.728483982449399,197.05408183579073,200.45533084609366,7.5491107998019515,1998.8094987406514,8162.534286298574,2.1053405804080048,22631.99039460021,0.5949218663873455,67.75511216968762,469.25316284186886,-2.3544884939252886,-0.6872205500195488,2.0,2.0
1.0,2.0,566.1559163794676,1336.436040964378,1654.9604048789383,1109.0441839740126,11.282532931874035,8.556437904475667,11.454264773167816,14.221786763469554,218.91674689344123,222.7230488205264,8.230448005347565,2039.067893193979,8265.806797362538,2.360856877922598,20970.73591467656,0.6412998687881012,69.39868093570645,480.43689901083496,-0.8917288519483666,-1.0716067481137228,2.0,2.0
1.0,4.0,567.6107947881303,1324.6423822967004,1618.9792341420925,1109.8867211504582,12.479399771745468,9.761794709301647,12.669252879611571,15.395736921688396,227.98647890213095,232.15849890600757,9.453607508510839,1958.8304458104606,8229.21257094708,2.387284319338201,16213.063002910461,0.5613468543774174,58.82155168229965,489.91898731904786,0.02931760523491573,0.2832259001990446,2.0,2.0
1.0,5.0,557.5166815761457,1319.9627288689687,1636.7734839446664,1094.794604057015,10.375958440108992,7.8443809328418705,10.534004390273012,13.103223396892592,202.926707932901,206.4173726570523,7.5800894959415634,2030.3719393932167,8210.841607062443,2.179843728813972,22932.954508693892,0.6381481136332819,70.27173292651332,472.4801654506701,-1.9720943383223624,-1.0922719357191208,2.0,2.0
1.0,6.0,557.4883914405589,1325.8600214062328,1651.2356586651592,1098.8499946551624,10.198815766809963,7.629578200152087,10.354170112510527,12.949623987704882,203.71215330837884,207.1620751501672,7.438422663693186,2055.192765147429,8231.386682211538,2.205871600885685,23569.85958449978,0.6394050579561442,73.1491225059805,470.2072288626733,-1.9994079296190999,-1.4243648014146042,2.0,2.0
1.0,7.0,561.4950130603789,1323.6416231174726,1635.2216708401106,1098.8278261425505,10.948749666066714,8.344669086553438,11.115471691728674,13.763149791575664,210.6076270260673,214.29031792635067,8.007166594738349,2017.8371814359812,8223.159476330678,2.2525773728509844,21303.862068965518,0.6308329450753671,67.52759729324765,477.9344125213665,-1.4026427893335316,-0.816838095302725,2.0,2.0
1.0,8.0,553.3145492166279,1319.7483871119491,1648.5290386037832,1091.1211180863556,9.608789967667441,7.127751885893329,9.7547528140933,12.262331450332624,194.67076731203252,197.92063170353543,6.9458725010377105,2064.789996822474,8211.355704680082,2.1184022054705616,25695.44689821321,0.6643912399229193,75.89614583191396,464.7523900905345,-2.685011050507134,-1.7044008974991125,2.0,2.0
1.0,9.0,560.384773619179,1326.7470618510597,1646.7040572673138,1100.9585610403078,10.597486772722409,7.990419795116104,10.759082803122316,13.408760255208845,208.259442636772,211.82647606249594,7.730854457737473,2038.8079839480731,8231.595127842551,2.254005704521106,22625.158179231865,0.6442859213009667,70.99606613224296,474.3514412806004,-1.6516603663042004,-1.2007966478913317,2.0,2.0
1.0,10.0,568.4425754473734,1334.141418700176,1643.160844050935,1105.6877006942018,11.699399661641028,8.977767844606031,11.877629317554256,14.662658604471114,221.36664589307955,225.30684952118636,8.471492925969873,2018.9789837180717,8258.85952334309,2.358035164650284,19817.781374219194,0.6440411435650669,65.76382895452876,485.16219444328385,-0.6235254568168428,-0.7070145154404232,2.0,2.0
1.0,12.0,565.1419403911019,1325.7613943305548,1629.5184783554284,1104.3209607856782,11.719594981954312,9.048738992283994,11.89805457036199,14.598673370611408,219.7725250045931,223.71157919938568,8.692643112051918,1994.0125194021757,8232.527615480423,2.3242181556861037,18816.345597252883,0.6011987667414731,63.49368004217611,484.21517747278244,-0.6642889470565676,-0.3252138641986314,2.0,2.0
1.0,13.0,566.7900657552751,1350.5569323625732,1689.396309603244,1119.7790525781434,10.825775612786371,8.004727820587338,10.990229360773384,13.84940753484001,220.62471533790816,224.28685988240412,7.849114715629206,2094.611003941639,8309.340059445634,2.442105415338474,22878.7914893617,0.6607415224079827,76.82520860532213,475.257931900094,-0.9957993319995494,-1.9262859532120313,2.0,2.0
1.0,14.0,572.3372447769226,1339.2285070485793,1642.963707661273,1121.6304462898718,12.834762971521924,9.963550600111699,13.030194351914401,15.909628972629708,238.30265579057385,242.61885681766597,9.68636473453393,1988.0153286266136,8276.52583079591,2.527514272700443,15826.100371747212,0.5680014379184042,61.24462666564716,492.0573406639815,0.6101239625832258,-0.036120598653765795,2.0,2.0
1.0,15.0,560.8898718207346,1322.6982681022869,1635.2313577620296,1095.514220658358,10.727141502560748,8.158332553023214,10.890301838022669,13.51568221527965,206.90524730915521,210.51186707220674,7.769007711407306,2023.907601673804,8219.376391935933,2.2146657889341,22226.404922355698,0.6504949496143765,68.55793345418104,476.6034080410987,-1.6600413051571075,-0.9631550035648974,2.0,2.0
1.0,16.0,565.1840865059823,1330.4690419252636,1641.7509675280342,1107.462556616637,11.514626100284099,8.812330310173275,11.69007251599216,14.428936906642667,219.92191060401586,223.7882520391179,8.507927503935877,2014.9981372714635,8245.699946341734,2.351394630116527,19690.47877145438,0.6119393132710019,66.21747899823649,482.0478548194373,-0.7507495621451484,-0.6556226896456383,2.0,2.0
1.0,17.0,562.8473842974844,1333.27977695893,1655.4296157635474,1106.9467666255316,10.886507317091507,8.20793194695558,11.052337807956201,13.768354732222562,214.15753154648885,217.83572583005787,7.969943312592163,2047.1391907776926,8254.793860760617,2.3157419132803914,21689.54576199535,0.6308820352219698,70.81777065537541,476.4530617427446,-1.249220150693237,-1.19837382790624,2.0,2.0
1.0,18.0,561.1525909114517,1320.173924648897,1623.2845587979068,1111.4981599071978,11.808234548442487,9.131395664402495,11.987639155748889,14.613091194513096,221.8770999859089,225.8315324321795,9.157892053747673,1968.6077557178915,8213.604302193864,2.344908167568407,17040.99765944997,0.5146450047398116,61.36187645034389,482.2095619757589,-0.4668134341283774,0.10387799289568218,2.0,2.0
1.0,20.0,561.8740277601786,1329.973191184996,1649.9134716871508,1103.8751959250735,10.80764279768703,8.161483422700622,10.97215189286418,13.656668359742719,211.8991335250613,215.54783515960108,7.902297544726332,2040.40679493758,8243.806019517482,2.287409964885763,21899.44078386822,0.6342273647728984,70.3207849200833,476.0215229044555,-1.3917199030811969,-1.141314589445809,2.0,2.0
1.0,21.0,558.884280644412,1324.171125179034,1642.642769836171,1102.2991191297697,10.683269056998311,8.07764573545999,10.845936068888763,13.468234423628642,209.5097600070504,213.1131888563675,7.9213618564689225,2030.1400834600504,8225.296824967987,2.255952600571757,21606.088639652677,0.6063452047739292,69.64710124218688,474.1114215569449,-1.536537352455135,-0.9784281129529812,2.0,2.0
1.0,22.0,559.8607682035463,1321.9836895070694,1635.6920915077276,1097.4608054034634,10.696710349539442,8.126690675504383,10.859906703664347,13.476466750049735,207.11731556388716,210.71412061245246,7.821846775476115,2021.5707496233301,8216.102394188443,2.222048373654622,22046.724128073183,0.6357442526697362,68.67291784968086,475.6269026586263,-1.6547964863535207,-0.9341715033233131,2.0,2.0
1.0,23.0,559.853061172905,1317.2689422443095,1624.3911329335226,1093.8950482917776,10.819829143337474,8.281852517427984,10.984606289765956,13.581158620166763,206.31793228684114,209.9455495540198,7.911550989153299,2004.0775815123327,8200.026948645662,2.199001765960653,21559.81136074608,0.6341378854815866,66.55046382481996,477.321229980765,-1.6457469466733972,-0.6835599504483926,2.0,2.0
1.0,24.0,561.204066033606,1323.9608745267442,1635.1063005894994,1104.8755418108526,11.208890332027194,8.565374859891298,11.379423682595593,14.03398532068361,215.16239498896644,218.93015135550357,8.384195209306567,2007.7587460204948,8224.740544153678,2.2967833858229545,19849.14053878611,0.5859175806926157,66.07990075333944,478.7229903728972,-1.0624867357939458,-0.5707298311242747,2.0,2.0
1.0,25.0,562.654829339548,1329.1752696266856,1645.8115127174688,1103.3671364390054,10.960650857353352,8.315846798101635,11.127446727950002,13.817978156493242,212.85050510427814,216.54564786224856,8.01500585056044,2032.5084067109258,8241.16102682628,2.2875234876483033,21412.082008753743,0.6321198204452886,69.00612151087277,477.6610803616108,-1.2815256085077331,-1.000163262834357,2.0,2.0
1.0,26.0,558.9135214193473,1321.2095088033946,1636.0358435847997,1097.4508796906189,10.624537450010784,8.055811011014574,10.78616966094225,13.392267821646634,206.80034089634617,210.37550488185903,7.796132329828146,2023.7880695161698,8214.609672915856,2.221470205075562,22072.514716187805,0.6275593964219845,69.0386720014437,474.61290097473943,-1.7028892524821753,-0.9504741988602033,2.0,2.0
1.0,29.0,556.5192697688017,1314.8724889721168,1627.3517572646592,1085.357333564073,10.166397396255954,7.7068336599004255,10.320993486601338,12.832434578798804,197.14477726430025,200.56956173946543,7.29089501828149,2026.6209370817871,8196.193231933317,2.1007881713460006,23901.644250726444,0.6672824914399001,69.58100535296562,472.04086346525,-2.3435549295640574,-1.0963816168902698,2.0,2.0
1.0,30.0,558.8958430393708,1324.179056128534,1642.545751749859,1102.2148831022698,10.683157899558257,8.077973097978827,10.845711315373874,13.469388817241766,209.49041536402288,213.0954843579924,7.921046546987144,2030.3813502020919,8225.176448508371,2.255636967359472,21604.58191681736,0.6063263497343977,69.6657461652704,474.115169893535,-1.5369875867352343,-0.9785718962136672,2.0,2.0
1.0,31.0,567.0690150770334,1324.158278796768,1619.6507624707895,1109.247002368242,12.383010418652155,9.67060456188509,12.571642852291403,15.300297884937214,227.0678648095093,231.2097370963446,9.364014993486126,1961.99919287055,8226.126195111825,2.3849435480931294,16569.732704995287,0.5658426721628604,59.434845679711906,489.0114057634621,-0.06596496863697328,0.21551670701741474,2.0,2.0
1.0,32.0,560.087402762253,1324.2198248866134,1641.1006223310276,1098.1841915060654,10.594410589488687,8.015163107336145,10.755876092592748,13.385152139900107,206.8065461349594,210.37166265278518,7.706876977789981,2031.92950881212,8223.387149513757,2.2284167452436323,22572.686330935252,0.6465512091650379,70.00244928373708,474.8130032563427,-1.7166417260774218,-1.1052632413261718,2.0,2.0
1.0,33.0,570.8850887841894,1357.1038760936701,1695.0794337721668,1120.8159234345633,11.106678012353903,8.23075825158083,11.275382008336722,14.205456860534067,224.49586504664072,228.275047002983,7.912602081696678,2101.7857759213816,8332.760186776348,2.47592546503491,22754.07463312369,0.6878089522915566,76.19495429592813,478.9230633912937,-0.7188147781803367,-1.9921596471004437,2.0,2.0
