unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf,alt,Mach,TRA,T2
1.0,1.0,575.8347077723571,1345.0413443076254,1649.638335974589,1138.9532111011295,13.733406889580046,10.713063851031926,13.942545065563497,16.927035381420822,252.60801069926174,257.17178058455875,10.711608579920357,1966.5202265500673,8290.597985574257,2.6968521292536467,12975.283742331289,0.508458743355635,58.70973303030362,496.8646756530019
1.0,2.0,571.9981959429248,1328.2120150638516,1617.1904127054784,1132.1394675266965,13.842663694487968,10.961179615743577,14.053465679683217,16.86715199626376,246.09613628299022,250.64590701167234,11.029777205953648,1906.7767930796604,8231.056563440628,2.5885733542182376,11766.460238568588,0.47078265119381024,53.363819456005665,497.8407764358615
1.0,3.0,586.1667046888714,1368.8718769977893,1683.1722568963019,1152.567938380463,14.56628248282122,11.294303531888024,14.78810404347332,18.08340630611135,270.75570181825856,275.61803122019415,11.05257099694148,2009.8658522076878,8368.073109107298,2.929628325871698,12582.406223358908,0.5609089222634235,61.35377582930544,503.6218137443282
1.0,4.0,587.2535776284197,1366.4279945988135,1673.6193105513444,1155.4489026099411,15.10427692318019,11.806908085907391,15.334291292568722,18.626613744191914,276.08965406057087,281.1133908298856,11.635647538021095,1982.0823675247195,8360.862928127292,2.9718344499661247,10937.904402515724,0.5332377006297842,58.45127164172928,507.00089918618596
1.0,5.0,575.823990572819,1345.097714147621,1649.4148913224606,1138.819641075646,13.73334517201843,10.713063851031926,13.94248240814054,16.926331691587347,252.64191500819354,257.2084422141156,10.712001443639737,1966.5202304116776,8290.88416713328,2.6967600884933898,12975.283742331289,0.508458743355635,58.70973303030362,496.8646756530019
1.0,6.0,581.5495674999011,1354.3062382551375,1658.5687868960522,1147.3885584905536,14.425889272065728,11.279963690729074,14.64557286504135,17.7864507568993,263.71716664574114,268.49047364439235,11.197417811712128,1966.6981299375987,8316.681247618224,2.83744539365017,11924.162958115183,0.5230064118446792,58.38104689932619,502.2286105869649
1.0,7.0,587.987796437172,1369.9639667008857,1679.2666381813701,1159.2507824181864,15.26097837626632,11.915684955552509,15.49337906219931,18.810534831315643,279.86781040811627,284.9600301218667,11.818440958713001,1988.2504636705555,8374.4802440785,3.0105117675094033,10466.435123480987,0.5206209982273299,58.54352526662865,507.4441403148693
1.0,8.0,582.4784217299062,1354.6156726875158,1656.0254220194886,1150.8349815350684,14.820312209519468,11.631311367676417,15.046002243166976,18.1902938508501,268.72462047770944,273.63181724600196,11.628621737319634,1953.171393301295,8320.388093676047,2.8768841199801867,10717.823471400394,0.49926294201224514,56.45458960109914,504.4244927201651
1.0,9.0,567.0442644527043,1315.0757934863982,1596.6481011728079,1124.9382854415953,13.547104450263054,10.777271106808202,13.753405533261985,16.4116687442464,238.07066527786236,242.51664587657802,10.977036661549395,1875.0515660682981,8189.969539320984,2.475418005115032,11635.14626391097,0.4322204609269747,50.87787631509414,495.22424698232555
1.0,10.0,580.9444320119504,1349.8050035467586,1649.4747444009495,1141.6887263176307,14.431731944872176,11.352450662854078,14.651504512560585,17.729381811022765,260.08912470513195,264.87132193034654,11.140909396254571,1957.4771156676748,8306.163412722019,2.7603019663048,11862.90610006854,0.5290162413188902,56.55305806735837,503.0437746639361
1.0,11.0,587.2775045259234,1366.344246425189,1674.6012379021672,1156.2447706711519,15.104429657197988,11.806908085907391,15.334446352485267,18.628305210596512,276.0450699560393,281.0586898800133,11.635540617338483,1982.0823875088038,8360.241388940021,2.973506841672921,10937.904402515724,0.5332377006297842,58.45127164172928,507.00089918618596
1.0,12.0,582.500352686585,1354.5079323612267,1656.662933089044,1151.2916517130664,14.820452167816732,11.631311367676417,15.046144332808867,18.191835232488334,268.66219715227214,273.56199975057314,11.628047234184622,1953.1713886836424,8319.79658729977,2.8775833502420403,10717.823471400394,0.49926294201224514,56.45458960109914,504.4244927201651
1.0,13.0,582.9594406995813,1356.9211760840358,1660.8932409536858,1151.7289801847146,14.812998384341368,11.611661692115558,15.038577039940476,18.19724584804077,269.35500903138086,274.2702026844173,11.588011407207814,1963.0466449038602,8330.098132571655,2.8800218531067867,10814.885802469136,0.5024425225340045,56.95479911639364,504.3632128941326
1.0,14.0,588.0233733137467,1369.7905999852005,1680.4324005735455,1160.130438711352,15.261211695961935,11.915684955552509,15.493615934986735,18.813075978525685,279.7778033572057,284.8566860454241,11.817763182033438,1988.2504665740316,8373.536074684445,3.0121355322210785,10466.435123480987,0.5206209982273299,58.54352526662865,507.4441403148693
1.0,15.0,588.0119606695612,1369.8578527797076,1680.2242318330514,1160.018892909085,15.261136871259835,11.915684955552509,15.493539970822166,18.812260779960244,279.81902895814966,284.90098993197694,11.8182652444031,1988.2504697783322,8373.841136467629,3.0121120377367654,10466.435123480987,0.5206209982273299,58.54352526662865,507.4441403148693
1.0,16.0,579.4907907302082,1352.3174896052533,1660.1421839094226,1140.4424070080138,13.8818234989174,10.807247424662766,14.093221826312082,17.182949988816784,255.96539530148124,260.57677346214166,10.607675293922176,1984.6558450923237,8312.94868107238,2.7475654086843453,13491.416508178014,0.5496273797222215,60.07811349641692,499.00781988334825
1.0,17.0,582.493375523837,1354.542930103371,1656.469817732898,1151.1562783198265,14.820407627443233,11.631311367676417,15.046099114155567,18.191344435016443,268.682863476192,273.58493427299925,11.62824798427903,1953.1713936110582,8319.98436917508,2.877390716095268,10717.823471400394,0.49926294201224514,56.45458960109914,504.4244927201651
1.0,18.0,579.4977971138114,1352.3204039342936,1660.7865969534537,1141.0430924719715,13.881866609576775,10.807247424662766,14.093265593478959,17.18341403502725,255.97814111241775,260.58442959128183,10.608241232998141,1984.655875202691,8312.775786827526,2.7490090175475603,13491.416508178014,0.5496273797222215,60.07811349641692,499.00781988334825
1.0,19.0,571.9104725804383,1329.946634585786,1623.4522082646668,1133.2457166179174,13.680394642263263,10.768836767912157,13.888725525140371,16.738516277057204,246.61411916314864,251.10881254211154,10.874648031189784,1917.0552712696867,8237.625255765644,2.6204513452950744,12326.025325119781,0.47751166537393863,55.251647831722934,496.36551889101713
